iter	Passed	Remaining
0	0	791
1	1	801
2	2	763
3	2	722
4	3	710
5	4	704
6	4	702
7	5	712
8	6	726
9	7	732
10	8	736
11	8	734
12	9	737
13	10	749
14	11	777
15	12	785
16	13	792
17	14	786
18	15	779
19	16	785
20	17	805
21	17	799
22	18	796
23	19	792
24	20	785
25	20	781
26	21	783
27	22	784
28	23	788
29	24	783
30	24	780
31	25	777
32	26	772
33	27	776
34	28	776
35	28	774
36	29	775
37	30	772
38	31	768
39	31	765
40	32	764
41	33	764
42	34	763
43	35	761
44	35	761
45	36	758
46	37	762
47	38	767
48	39	768
49	40	764
50	40	761
51	41	756
52	42	754
53	42	751
54	43	753
55	44	753
56	45	751
57	46	751
58	46	749
59	47	749
60	48	748
61	49	749
62	50	749
63	51	749
64	51	746
65	52	744
66	53	742
67	54	740
68	54	741
69	55	740
70	56	739
71	57	737
72	57	734
73	58	733
74	59	731
75	60	731
76	61	731
77	61	729
78	62	728
79	63	726
80	63	723
81	64	721
82	64	717
83	66	721
84	66	721
85	67	720
86	68	720
87	69	719
88	70	719
89	70	717
90	71	717
91	72	716
92	73	715
93	74	713
94	74	710
95	75	708
96	76	708
97	77	708
98	77	707
99	78	705
100	79	705
101	79	704
102	80	702
103	81	702
104	82	701
105	83	700
106	83	699
107	84	696
108	85	695
109	85	693
110	86	692
111	87	692
112	88	691
113	88	689
114	89	688
115	89	685
116	90	682
117	91	680
118	91	679
119	92	677
120	93	676
121	93	673
122	94	673
123	95	671
124	95	669
125	96	667
126	96	665
127	97	666
128	98	666
129	99	666
130	100	664
131	100	663
132	101	661
133	102	660
134	102	658
135	103	657
136	104	657
137	105	656
138	105	655
139	106	653
140	106	651
141	107	649
142	108	648
143	108	646
144	109	645
145	110	645
146	111	645
147	112	645
148	112	644
149	113	642
150	114	641
151	114	640
152	115	639
153	116	638
154	116	637
155	117	636
156	118	634
157	118	633
158	119	632
159	120	632
160	120	630
161	121	628
162	122	629
163	123	628
164	124	628
165	125	630
166	126	630
167	127	630
168	128	629
169	128	628
170	129	627
171	130	626
172	131	626
173	131	625
174	132	625
175	133	624
176	134	624
177	134	622
178	135	622
179	139	634
180	140	635
181	141	634
182	142	638
183	144	642
184	145	642
185	146	641
186	147	641
187	148	641
188	149	642
189	150	642
190	151	641
191	152	642
192	153	642
193	154	641
194	155	640
195	156	640
196	156	639
197	157	639
198	159	640
199	160	640
200	160	639
201	161	637
202	162	636
203	163	636
204	163	635
205	164	634
206	165	633
207	166	632
208	166	632
209	167	631
210	168	630
211	169	629
212	170	628
213	170	627
214	171	626
215	172	624
216	172	623
217	173	622
218	174	621
219	174	620
220	175	619
221	176	618
222	177	617
223	177	616
224	178	615
225	179	613
226	180	613
227	180	612
228	181	611
229	182	609
230	182	608
231	183	607
232	184	606
233	184	604
234	185	604
235	186	603
236	187	603
237	187	601
238	188	600
239	189	599
240	189	597
241	190	596
242	191	595
243	191	594
244	192	593
245	193	592
246	194	591
247	194	590
248	195	589
249	196	588
250	196	587
251	197	586
252	198	585
253	198	584
254	199	583
255	200	582
256	200	580
257	201	579
258	202	578
259	203	578
260	203	577
261	204	576
262	205	574
263	205	573
264	206	572
265	207	571
266	207	570
267	208	569
268	209	568
269	210	567
270	210	566
271	211	565
272	212	564
273	212	563
274	213	562
275	214	561
276	214	560
277	215	559
278	216	558
279	216	557
280	217	556
281	218	555
282	219	555
283	219	554
284	220	553
285	221	552
286	221	550
287	222	549
288	223	548
